HGNC ID	Approved symbol	Approved name	Locus type	NCBI Gene ID(supplied by NCBI)
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	gene with protein product	23172
HGNC:17369	ABT1	activator of basal transcription 1	gene with protein product	29777
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	pseudogene	100420695
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	gene with protein product	80325
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	gene with protein product	25841
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	gene with protein product	30
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	gene with protein product	10449
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	gene with protein product	31
HGNC:85	ACACB	acetyl-CoA carboxylase beta	gene with protein product	32
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	gene with protein product	27034
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	gene with protein product	28976
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	gene with protein product	80724
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	gene with protein product	84129
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	gene with protein product	33
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	gene with protein product	34
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	gene with protein product	35
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	gene with protein product	36
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	gene with protein product	37
HGNC:319	ACAN	aggrecan	gene with protein product	176
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	gene with protein product	9744
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	gene with protein product	23527
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1	RNA, long non-coding	100874306
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	gene with protein product	116983
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	gene with protein product	38
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	gene with protein product	39
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	gene with protein product	64746
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	RNA, long non-coding	107985353
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	gene with protein product	79777
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	gene with protein product	91452
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	gene with protein product	84320
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	gene with protein product	414149
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	gene with protein product	84680
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	gene with protein product	390110
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	gene with protein product	65057
HGNC:2707	ACE	angiotensin I converting enzyme	gene with protein product	1636
HGNC:13557	ACE2	angiotensin I converting enzyme 2	gene with protein product	59272
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene	pseudogene	100129123
HGNC:18356	ACER1	alkaline ceramidase 1	gene with protein product	125981
HGNC:23675	ACER2	alkaline ceramidase 2	gene with protein product	340485
HGNC:54674	ACER2P1	ACER2 pseudogene 1	pseudogene	645978
HGNC:16066	ACER3	alkaline ceramidase 3	gene with protein product	55331
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	gene with protein product	43
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	gene with protein product	22985
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	gene with protein product	2532
HGNC:1565	ACKR2	atypical chemokine receptor 2	gene with protein product	1238
HGNC:23692	ACKR3	atypical chemokine receptor 3	gene with protein product	57007
HGNC:1611	ACKR4	atypical chemokine receptor 4	gene with protein product	51554
HGNC:21142	ACKR4P1	ACKR4 pseudogene 1	pseudogene	285737
HGNC:115	ACLY	ATP citrate lyase	gene with protein product	47
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	gene with protein product	130013
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	pseudogene	347275
HGNC:117	ACO1	aconitase 1	gene with protein product	48
HGNC:118	ACO2	aconitase 2	gene with protein product	50
HGNC:33904	ACOD1	aconitate decarboxylase 1	gene with protein product	730249
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	gene with protein product	641371
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	gene with protein product	10965
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	gene with protein product	122970
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	gene with protein product	641372
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	gene with protein product	11332
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	gene with protein product	10005
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	gene with protein product	23597
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	gene with protein product	26027
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	gene with protein product	134526
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	gene with protein product	55856
HGNC:119	ACOX1	acyl-CoA oxidase 1	gene with protein product	51
HGNC:120	ACOX2	acyl-CoA oxidase 2	gene with protein product	8309
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl	gene with protein product	8310
HGNC:25621	ACOXL	acyl-CoA oxidase like	gene with protein product	55289
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1	RNA, long non-coding	400997
HGNC:122	ACP1	acid phosphatase 1	gene with protein product	52
HGNC:123	ACP2	acid phosphatase 2, lysosomal	gene with protein product	53
HGNC:125	ACP3	acid phosphatase 3	gene with protein product	55
HGNC:14376	ACP4	acid phosphatase 4	gene with protein product	93650
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	gene with protein product	54
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	gene with protein product	51205
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	gene with protein product	390928
HGNC:126	ACR	acrosin	gene with protein product	49
HGNC:17195	ACRBP	acrosin binding protein	gene with protein product	84519
HGNC:54745	ACRP1	ACR pseudogene 1	pseudogene	645529
HGNC:127	ACRV1	acrosomal vesicle protein 1	gene with protein product	56
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	gene with protein product	23205
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	gene with protein product	81616
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	gene with protein product	80221
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	gene with protein product	197322
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	gene with protein product	2180
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	gene with protein product	2181
HGNC:40227	ACSL3-AS1	ACSL3 antisense RNA 1	RNA, long non-coding	105373904
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	gene with protein product	2182
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	gene with protein product	51703
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	gene with protein product	23305
HGNC:40772	ACSL6-AS1	ACSL6 antisense RNA 1	RNA, long non-coding	101927693
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	gene with protein product	116285
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	gene with protein product	123876
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	gene with protein product	348158
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	gene with protein product	6296
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4	gene with protein product	341392
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	gene with protein product	54988
HGNC:51295	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	pseudogene	100421779
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	gene with protein product	142827
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	gene with protein product	84532
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	gene with protein product	55902
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3	gene with protein product	79611
HGNC:129	ACTA1	actin alpha 1, skeletal muscle	gene with protein product	58
HGNC:130	ACTA2	actin alpha 2, smooth muscle	gene with protein product	59
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	RNA, long non-coding	100132116
HGNC:132	ACTB	actin beta	gene with protein product	60
HGNC:17780	ACTBL2	actin beta like 2	gene with protein product	345651
HGNC:134	ACTBP1	ACTB pseudogene 1	pseudogene	643309
HGNC:135	ACTBP2	ACTB pseudogene 2	pseudogene	62
HGNC:136	ACTBP3	ACTB pseudogene 3	pseudogene	63
HGNC:137	ACTBP4	ACTB pseudogene 4	pseudogene	64
HGNC:139	ACTBP6	ACTB pseudogene 6	pseudogene	66
HGNC:140	ACTBP7	ACTB pseudogene 7	pseudogene	67
HGNC:141	ACTBP8	ACTB pseudogene 8	pseudogene	68
HGNC:142	ACTBP9	ACTB pseudogene 9	pseudogene	69
HGNC:31819	ACTBP10	ACTB pseudogene 10	pseudogene	446207
HGNC:33971	ACTBP11	ACTB pseudogene 11	pseudogene	644220
HGNC:150	ACTBP12	ACTB pseudogene 12	pseudogene	100462767
HGNC:44626	ACTBP13	ACTB pseudogene 13	pseudogene	389120
HGNC:45086	ACTBP14	ACTB pseudogene 14	pseudogene	389976
HGNC:143	ACTC1	actin alpha cardiac muscle 1	gene with protein product	70
HGNC:144	ACTG1	actin gamma 1	gene with protein product	71
HGNC:146	ACTG1P1	actin gamma 1 pseudogene 1	pseudogene	73
HGNC:147	ACTG1P2	actin gamma 1 pseudogene 2	pseudogene	74
HGNC:148	ACTG1P3	actin gamma 1 pseudogene 3	pseudogene	75
HGNC:149	ACTG1P4	actin gamma 1 pseudogene 4	pseudogene	648740
HGNC:151	ACTG1P6	actin gamma 1 pseudogene 6	pseudogene	78
HGNC:152	ACTG1P7	actin gamma 1 pseudogene 7	pseudogene	79
HGNC:153	ACTG1P8	actin gamma 1 pseudogene 8	pseudogene	80
HGNC:154	ACTG1P9	actin gamma 1 pseudogene 9	pseudogene	82
HGNC:155	ACTG1P10	actin gamma 1 pseudogene 10	pseudogene	83
HGNC:37651	ACTG1P11	actin gamma 1 pseudogene 11	pseudogene	414754
HGNC:44496	ACTG1P12	actin gamma 1 pseudogene 12	pseudogene	100418921
HGNC:49058	ACTG1P13	actin gamma 1 pseudogene 13	pseudogene	100418920
HGNC:49751	ACTG1P14	actin gamma 1 pseudogene 14	pseudogene	100418910
HGNC:51495	ACTG1P15	actin gamma 1 pseudogene 15	pseudogene	100418951
HGNC:51496	ACTG1P16	actin gamma 1 pseudogene 16	pseudogene	100418960
HGNC:51497	ACTG1P17	actin gamma 1 pseudogene 17	pseudogene	283693
HGNC:51498	ACTG1P18	actin gamma 1 pseudogene 18	pseudogene	100418924
HGNC:51499	ACTG1P19	actin gamma 1 pseudogene 19	pseudogene	644160
HGNC:51500	ACTG1P20	actin gamma 1 pseudogene 20	pseudogene	644961
HGNC:51501	ACTG1P21	actin gamma 1 pseudogene 21	pseudogene	100131291
HGNC:51502	ACTG1P22	actin gamma 1 pseudogene 22	pseudogene	100131953
HGNC:51503	ACTG1P23	actin gamma 1 pseudogene 23	pseudogene	442097
HGNC:49661	ACTG1P24	actin gamma 1 pseudogene 24	pseudogene	441783
HGNC:145	ACTG2	actin gamma 2, smooth muscle	gene with protein product	72
HGNC:24124	ACTL6A	actin like 6A	gene with protein product	86
HGNC:160	ACTL6B	actin like 6B	gene with protein product	51412
HGNC:161	ACTL7A	actin like 7A	gene with protein product	10881
HGNC:162	ACTL7B	actin like 7B	gene with protein product	10880
HGNC:24018	ACTL8	actin like 8	gene with protein product	81569
HGNC:28494	ACTL9	actin like 9	gene with protein product	284382
HGNC:16127	ACTL10	actin like 10	gene with protein product	170487
HGNC:163	ACTN1	actinin alpha 1	gene with protein product	87
HGNC:20131	ACTN1-AS1	ACTN1 antisense RNA 1	RNA, long non-coding	161159
HGNC:164	ACTN2	actinin alpha 2	gene with protein product	88
HGNC:165	ACTN3	actinin alpha 3 (gene/pseudogene)	gene with protein product	89
HGNC:166	ACTN4	actinin alpha 4	gene with protein product	81
HGNC:44028	ACTN4P1	actinin alpha 4 pseudogene 1	pseudogene	344978
HGNC:44032	ACTN4P2	actinin alpha 4 pseudogene 2	pseudogene	391026
HGNC:51621	ACTP1	actin family pseudogene 1	pseudogene	106480335
HGNC:167	ACTR1A	actin related protein 1A	gene with protein product	10121
HGNC:54703	ACTR1AP1	ACTR1A pseudogene 1	pseudogene	100287074
HGNC:168	ACTR1B	actin related protein 1B	gene with protein product	10120
HGNC:169	ACTR2	actin related protein 2	gene with protein product	10097
HGNC:170	ACTR3	actin related protein 3	gene with protein product	10096
HGNC:53965	ACTR3-AS1	ACTR3 antisense RNA 1	RNA, long non-coding	101060091
HGNC:17256	ACTR3B	actin related protein 3B	gene with protein product	57180
HGNC:37724	ACTR3BP1	ACTR3B pseudogene 1	pseudogene	643050
HGNC:38677	ACTR3BP2	ACTR3B pseudogene 2	pseudogene	440888
HGNC:38678	ACTR3BP3	ACTR3B pseudogene 3	pseudogene	647156
HGNC:38681	ACTR3BP4	ACTR3B pseudogene 4	pseudogene	777774
HGNC:38682	ACTR3BP5	ACTR3B pseudogene 5	pseudogene	399746
HGNC:38683	ACTR3BP6	ACTR3B pseudogene 6	pseudogene	644773
HGNC:37282	ACTR3C	actin related protein 3C	gene with protein product	653857
HGNC:31820	ACTR3P1	ACTR3 pseudogene 1	pseudogene	100288580
HGNC:38676	ACTR3P2	ACTR3 pseudogene 2	pseudogene	100129013
HGNC:38679	ACTR3P3	ACTR3 pseudogene 3	pseudogene	100128020
HGNC:14671	ACTR5	actin related protein 5	gene with protein product	79913
HGNC:24025	ACTR6	actin related protein 6	gene with protein product	64431
HGNC:44210	ACTR6P1	ACTR6 pseudogene 1	pseudogene	100421495
HGNC:14672	ACTR8	actin related protein 8	gene with protein product	93973
HGNC:17372	ACTR10	actin related protein 10	gene with protein product	55860
HGNC:24027	ACTRT1	actin related protein T1	gene with protein product	139741
HGNC:24026	ACTRT2	actin related protein T2	gene with protein product	140625
HGNC:24022	ACTRT3	actin related protein T3	gene with protein product	84517
HGNC:171	ACVR1	activin A receptor type 1	gene with protein product	90
HGNC:172	ACVR1B	activin A receptor type 1B	gene with protein product	91
HGNC:18123	ACVR1C	activin A receptor type 1C	gene with protein product	130399
HGNC:173	ACVR2A	activin A receptor type 2A	gene with protein product	92
HGNC:174	ACVR2B	activin A receptor type 2B	gene with protein product	93
HGNC:44161	ACVR2B-AS1	ACVR2B antisense RNA 1	RNA, long non-coding	100128640
HGNC:175	ACVRL1	activin A receptor like type 1	gene with protein product	94
